,character,line,episode number
3551,GEORGE, That'd be me.,109
3552,KRAMER," Hey, Jerry? You're a smart guy, right?",109
3553,JERRY, No question about it.,109
3554,KRAMER," Alright, you know I'm supposed to go on this special tour today with George's girlfriend.",109
3555,JERRY, At the zoo?,109
3556,KRAMER," Yeah, but before I met up with her, I stopped to look at the monkeys, when all of a sudden I am hit in the face with a banana peel. I turn and look and there is this monkey really laughing it up. Then someone tells me that he did it. Well, I pick up the banana peel and I wait for that monkey to turn around. And then I *whap* let him have it.",109
3557,JERRY," Kramer, you threw a banana peel at a monkey?",109
3558,KRAMER," Well, he started it!",109
3559,JERRY," It's a monkey, Kramer!",109
3560,KRAMER," Well, he pushed my buttons, I couldn't help it, Jerry.",109
3561,JERRY," Well, I still think it's wrong.",109
3562,KRAMER," Alright, alright, fine. You take the monkey's side, alright, go ahead.",109
3563,JERRY, I'm not taking anyone's side.,109
3564,KRAMER,"  Cause I know what happened, Jerry.  Did you call Alec Berg and thank him for the hockey tickets?",109
3565,JERRY, No.,109
3566,KRAMER," Oh, Jerry, what are you waiting for?",109
3567,JERRY," What do I gotta call him for? I thanked him five times when he gave them to me, how many time I gotta thank him?",109
3568,KRAMER," Oh, no no no, you gotta call him the next day, it's common courtesy.",109
3569,JERRY," No, I don't believe in it. I'm taking a stand against all this over thanking.",109
3570,KRAMER," Jerry, good manners are the glue of society.",109
3571,JERRY," Hey, if I knew I had to give him eight million 'thank you's, I wouldn't have taken the tickets in the first place.",109
3572,KRAMER," Alright, you know what this is gonna do? He's gonna be upset because you didn't call him and we're not gonna get those tickets for Friday night.",109
3573,JERRY," Ah, you're out of your mind.",109
3574,KRAMER," Alright, where you going?",109
3575,JERRY," I gotta get a suit cleaned, I have a funeral on Friday.",109
3576,KRAMER, Who died?,109
3577,JERRY, Remember the guy who pretended he had cancer so O would buy him the toupee?,109
3578,KRAMER, So he actually had it?,109
3579,JERRY," No, car accident. He was trying to adjust his toupee while he was driving and he lost control of the car.",109
3580,ELAINE, That poor priest. He was just visiting from El Salvador. Now he's gone completely loco.,109
3581,JERRY, The one Puddy screamed at in the car?,109
3582,ELAINE, Yeah. He thinks he saw the devil. He won't leave his room in the church basement.,109
3583,JERRY," Well, that's what you get for getting mixed up with a face painter.",109
3584,ELAINE," I mean, what compels a seemingly normal human being to do something like that?",109
3585,JERRY, Gotta support the team.,109
3586,ELAINE, You know I really hate my clothes.,109
3587,JERRY, Hm.,109
3588,ELAINE," I open up my closet, there's just nothing.",109
3589,JERRY, Hm.,109
3590,ELAINE," Nothing. I hate everything I have, I really hate it.  I mean, at this point, it's like I can wear something three or four times and that's it.",109
3591,JERRY, Hm.,109
3592,ELAINE, It's getting to be a terrible problem for me.,109
3593,JERRY,"  Hey, Alec!",109
3594,JERRY, Did you see that? What kind of a 'hello' was that?,109
3595,KRAMER, Yes.,109
3596,KRAMER," So, uh, what did you want to see me about?",109
3597,KRAMER, Barry?,109
3598,KRAMER," Oh. Well, uh, what's the problem?",109
3599,KRAMER," So, so what do you want me to do?",109
3600,KRAMER," Yeah, well he started it.",109
3601,KRAMER," So am I. What about my feelings? Don't my feelings count for anything? Oh, only the poor monkey's important. Everything has to be done for the monkey! Look, I'm sorry. I--",109
3602,KRAMER,  You know George really likes you.,109
3603,KRAMER, Oh.,109
3604,JERRY," I mean, do you think it's possible that he's mad at me because he didn't get the day-after 'thank you'?",109
3605,GEORGE," Wait a minute, you were at a funeral, right?",109
3606,JERRY, Yeah.,109
3607,GEORGE," Well, people never give a good 'hello' at a funeral. I mean, they go like this  That's the biggest.",109
3608,JERRY," Yeah, yeah, that's kinda what he gave me.",109
3609,GEORGE," Hey, they can't go, ""Hey! You look fabulous!""",109
3610,JERRY, Hey.,109
3611,KRAMER," Hey. Well, I just spoke to your girlfriend.",109
3612,GEORGE," Girlfriend, yeah, right.",109
3613,KRAMER," Anyway, she asked me to apologize to Barry.",109
3614,GEORGE, Barry?,109
3615,KRAMER, The monkey.,109
3616,JERRY, Well?,109
3617,KRAMER," Nothing doing. Jerry, I didn't do anything. It's the monkey that should be apologizing to me.",109
3618,JERRY," Well, I don't think that's gonna happen.",109
3619,KRAMER," Well, I'm sorry. Well, George, I tried to put the good word in for you with Siena, but I don't think she heard me. You know, left ear?",109
3620,GEORGE, What?,109
3621,KRAMER," Yeah, her boss told me that she can't hear very well out of her left ear. What, you didn't know that?",109
3622,GEORGE, Oh my god.,109
3623,JERRY, What?,109
3624,GEORGE, She probably never heard it. Don't you see what this means? It's like the whole thing never happened. It's like when Superman reversed the rotation of the earth to save Lois Lane!,109
3625,JERRY, Are you gonna say it again?,109
3626,GEORGE," That's the question, Jimmy.",109
3627,GEORGE, I'm gonna do it.,109
3628,JERRY," What? After what you just went through, I thought you said you'd never say it again.",109
3629,GEORGE, I'd like to say it once to someone that can actually hear it!,109
3630,KRAMER, What's going on?,109
3631,JERRY, He's gonna talk into her other ear.,109
3632,KRAMER," Oh. Well listen, I almost forgot to ask you. What happened at the funeral? Now, did you talk to Alec berg?",109
3633,JERRY," Yeah, I saw him.",109
3634,KRAMER," Alright, so he's gonna give you the hockey tickets, huh?",109
3635,JERRY," Well, not exactly.",109
3636,KRAMER," He's mad, isn't he? See, I knew it.",109
3637,JERRY, I don't know if he's mad.,109
3638,KRAMER," Alright, so what happened when you saw him?",109
3639,JERRY," Well, I didn't really get a good 'hello', but see, I was at a funeral.",109
3640,KRAMER, Uh huh.,109
3641,JERRY," See, so I don't know if I got a funeral 'hello' or he was mad because he didn't get his day-after 'thank you'.",109
3642,KRAMER," See, I told you, Jerry, I told you!",109
3643,JERRY," Look, what do you want me to do?",109
3644,KRAMER, I want you to get on this phone and give him his 'thank you'!,109
3645,JERRY," No. No, I can't!",109
3646,KRAMER," Jerry, this is the way society functions. Aren't you a part of society? Because if you don't want to be a part of society, Jerry, why don't you just get in your car and move to the East Side!",109
3647,JERRY," Look, we got five hours before the game. I am betting it was a funeral 'hello'. He knows we're here, he knows the number, he knows we want to go. There's plenty of time for him to call and give us the tickets.",109
3648,KRAMER," You stubborn, stupid, silly man!",109
3649,ELAINE," No, it's from the store.",109
3650,ELAINE," David? David, I think we aught to talk.",109
3651,ELAINE," David, I don't think we should see each other anymore.",109
3652,ELAINE," Well, you see, David, you're a face painter.",109
3653,ELAINE," Well, it's not that I don't like you, but, well to be perfectly honest, I'm just having some trouble getting past the face painting.",109
3654,ELAINE," Yeah, but you like the face painting.",109
3655,ELAINE, Oh. You mean you'd stop it for me?,109
3656,ELAINE," That's so, that's so sweet.",109
3657,GEORGE," Siena, I love you.",109
3658,GEORGE, Yeah. Just confirming.,109
3659,JERRY," Hello? Oh, hi mom. No, listen, I was expecting somebody else. I'm sorry, I can't talk now, I gotta keep the line clear, I'll call you later. Yes, I know I have call waiting but I don't trust it in an emergency. Good bye.",109
3660,KRAMER," Anyway, I um, I just want to say that I'm sorry. I lost my temper and I probably shouldn't have. I took it out on you and, look, if I've caused you any problems as a result of my behavior, well then, I'm sorry. I apologize. Even though, Barry, between me and you, we both know that you started it. I mean, who's kidding who? But they tell me that you're very upset, and god forbid I should disturb the very important monkey, I'm just hoping we can put this behind us, let's just move on with our lives, ok? So no hard feelings?",109
3661,ELAINE, What is that?,109
3662,ELAINE, Why is the letter 'D' painted on your chest?,109
3663,ELAINE, But you said no more painting.,109
3664,ELAINE," Yeah, that's right.",109
3665,KRAMER, Well? Did he call?,109
3666,JERRY, No.,109
3667,KRAMER," Oh, come on, Jerry! Come on, this is stupid! It's six o'clock! It's all over, just pick up the phone and thank him!",109
3668,JERRY," Alright!  Hello, Alec? Hi, it's Jerry Seinfeld. You know, you got a great 'John Houseman' name. Alec Berg. Did you hand in your assignment, Mr. Berg?",109
3669,JERRY," Well, Alec, the reason I called is I just wanted to thank you for the tickets from the other night.",109
3670,JERRY," Oh, you already gave them away?",109
3671,JERRY," No, we don't care, we just want to go.",109
3672,ELAINE, Hello father.,109
3673,JERRY," I have to tell you that I did some very exciting news recently, and I don’t know if I should really tell you exactly what it is because it’s really not a definite thing yet.  Well, I will tell you what I know so far. According to the information that I have in the envelope that I’ve received, it seems that I may have already won some very valuable prizes.  Well, thank you, thank you very much, well thank you. That's very nice to hear that. But, in all honesty, I have to say, I didn’t even know I was in this thing. But, according to the readout, it looks like I am among the top people that they are considering. You know, that’s what annoys me about the sweepstakes companies, they always tease you with that, “You may have already won.” I’d like once for a sweepstakes company to have some guts, come out with the truth, just tell people the truth one time. Send out envelopes, “You have definitely lost!” You turn it over, giant printing, “Not even close!” You open it up, there’s this whole letter of explanation, “Even we cannot believe how badly you have done in this contest.”",11
3674,JERRY,  To the right.,11
3675,GEORGE, That took awhile.,11
3676,JERRY, Don’t get up.,11
3677,GEORGE," I’d like to help, but my neck..",11
3678,GEORGE, So how long has it been in the basement?,11
3679,JERRY," Since my grandfather died. I was suppose to send it down to my parents in Florida, but they didn’t want it. They told me to get rid of it, but I felt funny and then I sort of forgot about it. And it’s been sitting down there for three years until he saw it.  All right, so, just take what you want and let’s get it out of here.",11
3680,GEORGE, What’s in it?,11
3681,JERRY," Grandpa clothes, I can’t wear ‘em.",11
3682,KRAMER, You want these? Knee socks. You don’t wear knee socks.,11
3683,JERRY," No, go ahead. Look at this place. I can’t wait to get it cleaned.",11
3684,GEORGE, I know someone who’ll do it. She’s good. She’s honest.,11
3685,JERRY," No, Elaine’s got this writer friend from Finland, Rava. Her boyfriend goes to Columbia grad school, and he’s suppose to do it.",11
3686,GEORGE, Students can’t clean. It’s anathema.  They don’t like it.,11
3687,JERRY, How long have you been waiting to squeeze that into a conversation?,11
3688,KRAMER, Now this I like.,11
3689,GEORGE, Wait a second.  I can’t believe this! Let me see this.,11
3690,KRAMER," Wait, wait, wait...",11
3691,GEORGE, Let me just see it.,11
3692,KRAMER, Come on...,11
3693,GEORGE, Let me just see it for a second.,11
3694,GEORGE," Oh my God, it’s exactly the same!",11
3695,JERRY, What?,11
3696,GEORGE," When I was ten years old, my parents had this very same statue on the mantle of our apartment. Exactly. And, one day, I grabbed it, and I was using it as a microphone. I was singing, “MacArthur Park”, and I got to the part about, “I’ll never have that recipe again,” and it slipped out of my hand and it broke. My parents looked at me like I smashed the ten commandments. To this day, they bring it up. It was the single most damaging experience in my life, aside from seeing my father naked.",11
3697,KRAMER," C’mon, George. I saw it first.",11
3698,GEORGE," No, Kramer. I have to have this statue.",11
3699,KRAMER," No, I got dibs!",11
3700,GEORGE," What? No dibs! I need this statue. C’mon, give it!",11
3701,JERRY," Spread out, spread out you numbskulls. Why don’t you just settle it like mature adults?",11
3702,KRAMER, Potato man!,11
3703,GEORGE," No, no, no potato man. Inka-dink.",11
3704,KRAMER, Okay...yea well uh start with me.,11
3705,GEORGE," Yeah, good, good.",11
3706,JERRY," Inka-dink, a bottle of ink, the cork fell out, and you stink.",11
3707,JERRY," Not because you’re dirty, not because you’re clean – just because you kissed the girl behind the magazine...",11
3708,JERRY, And you are it!,11
3709,KRAMER," What?! Wait a minute. No, no, no. What are you doing? No, no, oh, oh, okay. He’s out. I get it.",11
3710,GEORGE," No, no, no, no, I’m It. I win.",11
3711,JERRY," No, he’s It. He wins. It is good.",11
3712,KRAMER, Do over – start with him.,11
3713,JERRY," No, no, no, come on, Kramer. Now, you got the socks.",11
3714,KRAMER," All right, you can have it. ",11
3715,GEORGE,  Dit.,11
3716,KRAMER," Okay, I’m gonna take the suit, and the shoes, and the hat.",11
3717,JERRY," All right, c’mon. Let’s go.",11
3718,KRAMER," Hey, I look like Joe Friday in Dragnet.",11
3719,GEORGE, I can’t believe I won at Inka-dink.,11
3720,JERRY," Come on, let’s go.",11
3721,GEORGE, Yea.,11
3722,JERRY, Aren’t you gonna take it?,11
3723,GEORGE," No, no, no, I don’t want to carry it around all night. I’ll pick it up later.",11
3724,GEORGE,  What about your stuff?,11
3725,KRAMER," Oh, uh, well - okay.",11
3726,JERRY," All right, let’s go. Hey, you know, you owe me one.",11
3727,GEORGE, What?,11
3728,JERRY, The Inka-dink.. You were It.,11
3729,GEORGE, It’s bad?,11
3730,JERRY, It’s very bad.,11
3731,ELAINE, You told them that?,11
3732,ELAINE,  This is so fantastic. I don’t know how to thank you.,11
3733,JERRY,"  So, where’s this boyfriend of yours? I can’t wait much longer. I’ve got a flight.",11
3734,ELAINE," Oh, probably caught in traffic.",11
3735,JERRY," So what do you write, children’s books?",11
3736,JERRY, All right...,11
3737,JERRY, I gotta get to the airport.,11
3738,JERRY, The uh toilet brush is under the sink.,11
3739,JERRY," I don’t really feel that comfortable with a maid, either, because there’s that guilt when you have someone cleaning your house. You know, you’re sitting there on your sofa, and they go by with the vacuum, “I’m really sorry about this. I don’t know why I left that stuff over there.” And that’s why I could never be a maid, because I’d have an attitude. I’d find them, wherever they are in the house, “Oh, I suppose you couldn’t do this? No, don’t get up, let me clean up your filth. No, you couldn’t dust. No, this is too tough, isn’t it?”",11
3740,JERRY," He really did an amazing job. Look! He uncoagulated the top of the dishwashing liquid!  He cleaned out the bottom of the little egg cups! Come here, look at this.  He cleaned the little one-inch area between the refrigerator and the counter. How did he get in there?! He must be like Rubber Man!",11
3741,ELAINE, There’s no Rubber Man.,11
3742,JERRY, Why did I think there was a Rubber Man? There’s Elastic Man... Plastic Man...,11
3743,ELAINE, I’m leaving.,11
3744,JERRY, Where are you going?,11
3745,ELAINE, To Rava’s house. I’ve gotta pick up her manuscript.,11
3746,JERRY, Oh wait. I’ll go with you.,11
3747,JERRY," Elaine, he Windexed the little peep hole!",11
3748,ELAINE,"  So, the meeting with Lippman is all set. He’s the editor-in-chief! I think because of your request-",11
3749,ELAINE, They're going to promote me to editor.,11
3750,JERRY," Hey, Ray, listen, you really did a tremendous job cleaning that apartment.",11
3751,JERRY, Shouldn’t you be out on a ledge somewhere?,11
3752,ELAINE, Jerry? Jerry!,11
3753,JERRY, What?,11
3754,JERRY, I think that’s the statue from my house. That looks like the statue from my house!,11
3755,ELAINE, What statue?,11
3756,JERRY, I had a statue!,11
3757,ELAINE, You have a statue? I never saw a statue.,11
3758,JERRY, My grandfather gave me a statue!,11
3759,ELAINE, Since when?,11
3760,JERRY, What’s the difference?! That’s the one! He ripped me off! This guy ripped me off!,11
3761,JERRY, I can’t believe it! This guy ripped me off!,11
3762,ELAINE, Do you realize what you’re saying?,11
3763,JERRY, Yes! This guy ripped me off! He stole that statue right out of my house!,11
3764,ELAINE, Are you sure?,11
3765,JERRY, Pretty sure! Ninety-nine percent sure.,11
3766,ELAINE, Ninety-nine percent sure?!,11
3767,ELAINE, Maybe it just looks the same. Maybe it’s just a coincidence.,11
3768,JERRY," Coincidence? This guy’s in my apartment and then, just by coincidence, he has the same exact statue in his apartment?",11
3769,ELAINE, I never saw the statue.,11
3770,JERRY, I had a statue! What should I do?,11
3771,ELAINE, I don’t know.,11
3772,JERRY, I’ll call Kramer. He can check my house.,11
3773,ELAINE," Oh Jerry, don’t blow this for me.",11
3774,JERRY," Don’t worry.  Kramer! Kramer!... It’s Jerry!... Jerry!... From next door!... Never mind where I am!... Yes, Jerry Seinfeld!...",11
3775,JERRY," Ma, I told you, just dip the bread in the batter, and put in right in the pan... Okay, bye.  My mother. She forgot how to make French toast. You know how mothers are.",11
3776,JERRY, My mom’s down in Florida. She’s got uh one of those condos. Hot down there in the summer. You ever been down there?,11
3777,JERRY," Listen, uh I just remembered... I’m... uh, getting a facial.",11
3778,ELAINE," Oh, see you tomorrow morning.",11
3779,JERRY," No, I don’t eat dinner. Dinner’s for suckers.",11
3780,JERRY," Uh huh... Yeah... Okay, thanks anyway... Bye.",11
3781,JERRY," Nope, the cop says it’s my word against his. There’s nothing they can do.",11
3782,KRAMER, Let’s go get him.,11
3783,JERRY," Yeah, right.",11
3784,GEORGE, We can’t just let him get away with this.,11
3785,JERRY," Do you realize how crazy he had to be to do something like this? He knew I was gonna know it’s missing, and he took it! And of all things to take! I left my watch, tape recorder, stereo. He’s crazy.",11
3786,KRAMER, You wanna go get him?,11
3787,ELAINE," Well, then, if he’s crazy you should just forget it.",11
3788,GEORGE, Forget it? I already called my parents. I told them to expect the surprise of a lifetime. My mother’s making her roasted potatoes!,11
3789,ELAINE," George, do you realize that Rava has asked me to edit her book?",11
3790,GEORGE, Who is this Rava?,11
3791,KRAMER, I say we get him.,11
3792,ELAINE, No!,11
3793,GEORGE, Let me just call him.,11
3794,JERRY," I’ll call him.  Hello, Ray?... Hi, Ray, this is Rava’s friend, Elaine’s friend, Jerry... The King of Comedy, right. Listen, you know that statue on your mantle, the one with the blue lady?  Would you shut up?!  Yeah, you don’t want to talk about it over the phone?.. You don’t want Rava to hear?... Yeah, I understand... You know that coffee shop near my house, Monk’s?... All right, tomorrow... One o’ clock... Great, okay, bye.",11
3795,ELAINE," All right, look, look, look. Let’s say he stole it.",11
3796,GEORGE," Oh, he stole it!",11
3797,ELAINE," C’mon, you can’t do anything about it. The cops won’t do anything. What, are you going to fight him? Why don’t you just forget it?",11
3798,GEORGE, I thought you said one o’clock.,11
3799,JERRY," Relax, he’s late. He’s always late. It’s part of his M.O.",11
3800,GEORGE," Remember, don’t take any crap.",11
3801,JERRY," Yeah, yeah. Don’t worry about it.",11
3802,GEORGE, I’ll be right here.,11
3803,JERRY, That’s comforting. Shh. He’s coming.  Ray?,11
3804,JERRY," Well, I didn’t...",11
3805,GEORGE,  I wonder why.,11
3806,JERRY," Well, just give it back, and I won’t say anything.",11
3807,JERRY, Yeah.,11
3808,JERRY, What are you talking about?,11
3809,GEORGE, What is he talking about?,11
3810,JERRY," Yeah, me too.",11
3811,JERRY, Me.,11
3812,GEORGE," Yeah, him.",11
3813,JERRY, Yeah. Me.,11
3814,GEORGE, You already got it.,11
3815,JERRY," Ray, I had a statue in my house. You were in my house – and then I saw it in your house.",11
3816,JERRY, What am I saying?,11
3817,GEORGE, Take a wild guess.,11
3818,GEORGE, What a mind.,11
3819,JERRY," Well, I...",11
3820,JERRY, I can’t believe what I’m hearing.,11
3821,GEORGE, I can’t believe what I’m hearing.,11
3822,GEORGE, Pawn shop?,11
3823,JERRY, A pawn shop?,11
3824,GEORGE, Cleaning them out.,11
3825,JERRY," Oh, excuse me... Look, Ray, you were the only person in my house.",11
3826,GEORGE, Again with the Rava.,11
3827,JERRY," No, she’s a little too cheery for me.",11
3828,JERRY, I know Finland. They’re neutral.,11
3829,JERRY," No, I actually find you quite charming. A bit verbose at times...",11
3830,GEORGE," “Oh, I find you so charming.” You wuss.",11
3831,JERRY,  Did you call me a wuss?,11
3832,JERRY, I said luss. I’m at a luss.,11
3833,JERRY," That’s not necessary.  You know, maybe it’s not that bad an idea.",11
3834,GEORGE, Singapore?! Do you hear this?,11
3835,GEORGE, That’s it! That’s it! I can’t take it. I can’t take it anymore! You stole the statue! You’re a theif! You’re a liar!,11
3836,JERRY, George...,11
3837,GEORGE," I’m the judge and the jury, pal. And the verdict is guilty!",11
3838,GEORGE, GUILTY!,11
3839,GEORGE," Oh, I’m crazy!",11
3840,JERRY," George, george...",11
3841,GEORGE," Oh ho! Class, huh? At Columbia? Let me tell you something, pal. I called the registrar’s office. I checked you out. They have no record of a Ray Thomas at that school! You liar!",11
3842,GEORGE, You mean alias.,11
3843,GEORGE," Well, that was bound to happen.",11
3844,JERRY," Hey, Ray.",11
3845,JERRY, How did you get the goop out of the top of the dishwashing liquid? It was like a brand-new nozzle!,11
3846,ELAINE, Nervous?,11
3847,ELAINE, Yeah. Right.,11
3848,ELAINE, The book is great. Did you go out last night?,11
3849,ELAINE, They all are.,11
3850,ELAINE, I can’t remember.,11
3851,ELAINE," Oh, well, I’m staying out of this one. This is between them. I am not getting involved.",11
3852,ELAINE," Well, you have to admit... the circumstantial evidence...",11
3853,ELAINE," Well, I mean, he was in the apartment, and then it’s gone and it’s in your apartment.",11
3854,ELAINE," No, no. But it is quite a coincidence.",11
3855,ELAINE, A big coincidence.,11
3856,ELAINE," No, that’s a big coincidence.",11
3857,ELAINE," No, there are degrees of coincidences.",11
3858,ELAINE, Shouldn’t you be out on a ledge somewhere?,11
3859,GEORGE," Ma, will you stop?... It’s just a statue!... How is it my fault?!... It was stolen. I didn’t even touch it this time... Okay, fine... I don’t see why this should affect to potatoes!... Okay... Goodbye.  She doesn’t react to disappointment very well. Unlike me.",11
3860,KRAMER, I’m not happy about this.,11
3861,ELAINE, Why don’t we just throw a Molotov cocktail through their window?,11
3862,GEORGE," There’s just no justice. This experience has changed me. It’s made me more cynical, more bitter, more jaded.",11
3863,JERRY, Really?,11
3864,GEORGE,"  Sure, why not.",11
3865,ELAINE," Well, how do you think I feel? Instead of editing the first novel of a major young writing talent, I am proofreading a food allergy cookbook.",11
3866,JERRY, Can’t you talk to your boss?,11
3867,ELAINE," I did. He loves Rava. Worse, he loves Ray. And he didn't think you’re funny at all.",11
3868,KRAMER,  I’m not happy about this.,11
3869,JERRY," Well, perhaps we can take comfort in the knowledge that in the next world, Ray will be the recipient of a much larger and more harsh brand of justice..",11
3870,GEORGE," Yeah, he’ll have my parents.",11
3871,KRAMER,  Police! Open up!,11
3872,KRAMER," Freeze, mother!",11
3873,KRAMER," Shut up. Spread ‘em. I said spread ‘em!  You’re in big trouble son. Burglary, grand larceny, possession of stolen goods... and uh, uh... murder.",11
3874,KRAMER," Shut up! Keep ‘em spread! Just make love to that wall, pervert!",11
3875,KRAMER, Is your name Ray?,11
3876,KRAMER," Yeah, you’re the punk I’m looking for!",11
3877,KRAMER," Yeah, I’m a cop. I’m a good cop. I’m a damn good cop!  Today’s your lucky day, junior, ‘cause I’m gonna let you off with a warning. Any more of this criminal activity, and you’ll be sorry. You got me?",11
3878,KRAMER," Good, good. Let’s uh keep it that way.",11
3879,JERRY," All right, all right. What’s the big hubbub, bub?",11
3880,GEORGE," Kramer, I can’t believe it. Oh, you’re my hero!",11
3881,KRAMER, Yeah.,11
3882,JERRY," Kramer, what did you do?",11
3883,KRAMER," Well, let’s just say I didn’t take him to People’s Court.",11
3884,GEORGE," I feel like a huge weight’s been lifted off my shoulders. I... I... I feel happy! Kramer, I don’t know how to thank you!",11
3885,KRAMER," Well, I’ll think of something.",11
3886,JERRY," People are going to steal from you. You can’t stop them. But, everybody has their own little personal security things. Things that they think will foil the crooks, you know? In your own mind, right? You go to the beach, go in the water, put your wallet in the sneaker, who’s gonna know? What criminal mind could penetrate this fortress of security? I tied a bow. They can’t get through that. I put the wallet down by the toe of the sneaker. They never look there. They check the heel, they move on.",11
3887,JERRY,"  Now what am I supposed to do here? Shall I go over there? It's not like somebody died. It's ""Beaches"" for god's sake. If she was sitting next to me I'd put my arm around her. I can't be making a big move like going all the way over there. I can't. I won't.",110
3888,JERRY," She calls me this morning and tells me she's upset I didn't console her. I mean it was ""Beaches"" for god's sake. What, what do you do in a situation like that?",110
3889,GEORGE, Where were you?,110
3890,JERRY, I was sitting on the chair. She was over here on the couch.,110
3891,GEORGE," Well you know, if you were sitting right next to her you'd have to console her no matter what.",110
3892,JERRY, Of course.,110
3893,GEORGE," When you're talking about a movie like ""Beaches"", moving from the chair to the couch , . . . that's quite a voyage.",110
3894,JERRY," yeah,",110
3895,KRAMER, Hey.,110
3896,GEORGE, Hey. I gotta go.,110
3897,KRAMER, Where you going?,110
3898,JERRY," The Improv is playing ""Rochelle Rochelle"" The musical.",110
3899,KRAMER, Really? What is Bette Midler playing? Is she going to be there?,110
3900,JERRY, She might be. She's the star of the show.,110
3901,KRAMER," Bette Midler is going to be in the park today? Yeeee. Jerry, don't tease me.",110
3902,GEORGE, I didn't know you were such a Bette Midler fan.,110
3903,KRAMER," So maybe I'll go down there and watch, uh? She'll be there, ,maybe.",110
3904,GEORGE, Gennice palying today?,110
3905,JERRY," Yeah, maybe.",110
3906,KRAMER, Who's Gennice?,110
3907,JERRY, That's the understudy. I'm dating her.,110
3908,KRAMER," Oh, uh, is this uh, Bette Midler's understudy?",110
3909,JERRY, Yeah.,110
3910,KRAMER," Oh, understudies are a very shifty bunch. The substitute teachers of the theater world.",110
3911,JERRY, I'm glad she's an understudy. I don't have to avoid going back stage and having to think of something to say.,110
3912,GEORGE, Going backstage is the worst. Especially when they stink. You know that's a real problem.,110
3913,JERRY, Just once I would like to tell someone they stink. You know what? I doidn't like the show. I didn't like you. It just really stunk. The whole thing…real bad. Stinkaroo. Thanks for the tickets though.,110
3914,ELAINE, I know I know. I didn't have change for the bus and they don't give change in this city. So they threw me off the bus,110
3915,ELAINE, How long do you think this will take. I have a millllioooon things to do.,110
3916,ELAINE," What?, uh?",110
3917,ELAINE, What is so funny?,110
3918,ELAINE, The Korean women were talking about me. I think they were calling me a dog.,110
3919,JERRY, How would you know? You don't speak Korean.,110
3920,ELAINE, Because this woman came in with a dog and Ruby called the dog the same word they used when they were pointing at me…ge ge ge,110
3921,KRAMER," You know, maybe in Korean ""dog"" isn't an insult. Could be like the word ""fox"" to us. Oh, she's a DOG!",110
3922,JERRY, Why don't you go to another nail shop?,110
3923,ELAINE," Because they're the best Jerry, the best. Look. Maybe I'm just being paranoid.",110
3924,JERRY, What you need is a translator to go in the shop with you and tell you what they're saying.,110
3925,ELAINE," Yeah, who speaks Korean?",110
3926,JERRY, You know who speaks Korean?,110
3927,ELAINE," No, who?",110
3928,JERRY, George's father.,110
3929,ELAINE, You gotta' be kidding me. How does he speak Korean?,110
3930,JERRY, He used to go there a lot on business.,110
3931,ELAINE, What did he do?,110
3932,JERRY," He sold religious articles the statues of Jesus, the virgin Mary, that were manufactured in Korea.",110
3933,ELAINE," Uh,",110
3934,JERRY," George, does your father speak Korean?",110
3935,GEORGE," Yeah, he once bumped into reverend Yung Sun Moon.",110
3936,JERRY," Oh, hi Gennice.",110
3937,JERRY," This is George, this is Kramer.",110
3938,JERRY, Playing today?,110
3939,JERRY, They really stick to that understudy rule.,110
3940,KRAMER, So she's coming?,110
3941,JERRY," It's okay…it's just a hot dog,  everything is going to be okay.",110
3942,KRAMER," Look it's Bette It's Bette! Ah, Ah, AH, . . . Bette, psst, hi.",110
3943,KRAMER," Uh, I just want to say I think you're wonderful.",110
3944,KRAMER," Yeah, I've seen you in everything you've done.",110
3945,KRAMER, Anything I can get you? Water? They got ice over here.,110
3946,KRAMER," Chocolate, Lemon, and uh, Cherry.",110
3947,KRAMER," Pineapple, sure, alright, I'll be right back.",110
3948,KRAMER," Oh, uh, uh. ",110
3949,ELAINE," Anyway, Mr. Costanza, what I want you to do is to come to the shop with me and tell me what they are saying. You do speak Korean?",110
3950,ELAINE," uh, ha.",110
3951,ELAINE," Yeah, yeah. Uh, uh listen Mr. Costanza, if uh, if you do this for me I'll get you a manicure, I'll pay for it. Or you can get a pedicure if you want.",110
3952,GEORGE," I watched ""Beaches"" on cable last night. … … Give me a break.",110
3953,ELAINE," Uh, Mr. Costanza, I …",110
3954,ELAINE," Mr. Costanza, I, …",110
3955,JERRY," Come on George, just loosen up.",110
3956,JERRY, Come on George.,110
3957,KRAMER, I GOT THE PINEAPPLE. ,110
3958,JERRY,  Keep going.,110
3959,GEORGE, Aaaaaah,110
3960,GEORGE, come on it's just a game.,110
3961,KRAMER,"  Don't worry Kramer is going to take care of everything. See,, I got you Pineapple. I saw Beaches last night for the fourth time  ""You are the wind…""",110
3962,JERRY, Well we…,110
3963,JERRY,  It's okay. Everything is going to be all right.,110
3964,KRAMER," Come on Jerry, open up. I KNOW YOU'RE IN THERE!",110
3965,JERRY, Come back another time.,110
3966,KRAMER, SO...you're all in here together. How convenient. I hope you're all proud of yourselves.,110
3967,KRAMER," So my dear you think you can get to Broadway. Well, let me tell you something. Broadway has no room for people like you. Not the Broadway I know. My Broadway takes people like you and eats them up and spits them out. My Broadway is the Broadway of Merman, and Martin, and Fontaine, and if you think you can build yourself up by knocking other people down... ...GOOD LUCK... ",110
