,character,line,episode number
78,JERRY,"  If you know what happened in the Met game, don’t say anything, I taped it, hello. Yeah, no, I’m sorry, you have the wrong number. Yeah, no ",1
79,JERRY,  Yeah?,1
80,KRAMER, Are you up?,1
81,JERRY,"  Yeah.  Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.",1
82,KRAMER," Boy, the Mets blew it tonight, huh? ",1
83,JERRY,"  Ohhhh, what are you doing? Kessler, it’s a tape! I taped the game, it’s one o’clock in the morning! I avoided human contact all night to watch this.",1
84,KRAMER," Hey, I’m sorry, I- you know, I, I thought you knew.  You got any meat?",1
85,JERRY," Meat? I don’t, I don’t know, go... hunt!  Well what happened in the game anyway?",1
86,KRAMER,"  What happened? Well, they STUNK, that’s what happened!",1
87,KRAMER," You know, I almost wound up going to that game.",1
88,JERRY,  Yeah you almost went to the game. You haven’t been out of the building in ten years!,1
89,KRAMER, Yeah.  Are you done with this?,1
90,JERRY, No.,1
91,KRAMER," When you’re done, let me know.",1
92,JERRY," Yeah, yeah...you can have it tomorrow.",1
93,KRAMER, I thought I wasn’t allowed to be in here this weekend.,1
94,JERRY," No, it’s okay now, that, that girl is not comin’. Uh, I misread the whole thing.",1
95,KRAMER, You want me to talk to her?,1
96,JERRY, I don’t think so.,1
97,KRAMER," Oh, I can be very persuasive. Do you know that I was almost... a lawyer.",1
98,JERRY," That close, huh?",1
99,KRAMER, You better believe it.,1
100,JERRY," Hello...Oh, hi, Laura.",1
101,KRAMER," Oh, give me it...let me talk to her.",1
102,JERRY,"  No believe me, I’m always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...",1
103,KRAMER,  SLIDE! Wow!,1
104,JERRY," No, it’s, it’s just my neighbour... Um... Yeah, I got it.  Ten-fifteen... No, don’t be silly, go ahead and ask... Yeah, sure... Okay, great, no no, it’s no trouble at all... I’ll see you tomorrow... Great, bye.  I don’t believe it. That was her. She wants to stay here! ",1
105,JERRY," If my father was moving this he’d had to have a cigarette in his mouth the whole way.  'Have you got your end?...Your end’s got to come down first, easy now, drop it down...drop it down, your end’s got to come down.'",1
